TeamNumber,Match,AutoAmps,AutoSpeaker,AutoLeave,AutoMiddle,TeleopAmps,TeleopSpeaker,Chain,Harmony,Trap,Park,Mobility
5104,1,0,1,True,False,0,8,False,False,False,False,True
841,1,0,0,True,False,0,11,False,False,False,False,True
6918,1,0,0,False,False,0,0,False,False,False,False,False
6884,1,0,0,False,False,0,0,False,False,False,False,False
8546,1,0,0,False,False,0,0,False,False,False,False,False
253,1,0,0 ,True,False,1,0,False,False,False,False,True
2035,2,0,0,False,False,0,0,False,False,False,False,False
5026,2,0,1,True,True,0,1,False,False,False,False,True
8404,2,0,0,True,False,0,0,False,False,False,False,True
7419,2,0,0,False,False,0,5,False,False,False,False,False
9125,2,0,1,True,False,0,2,False,False,False,False,True
2367,2,0,0,False,False,2,1,False,False,False,False,False
2073,3,0,2,True,False,0,4,False,False,False,False,True
2473,3,0,1,True,False,0,1,False,False,False,False,True
4990,3,0,0,True,False,1,0,False,False,False,False,True
6348,3,0,0,True,False,0,0,False,False,False,False,True
668,3,0,0,False,False,0,8,False,False,False,False,False
1351,3,0,0,True,False,4,2,False,False,False,False,True
581,4,0,2,True,True,0,10,False,False,True,False,True
972,4,0,0,False,False,0,2,False,False,False,False,False
3309,4,0,0,True,False,0,0,False,False,False,False,True
192,4,0,1,True,False,2,0,False,False,False,False,True
1967,4,0,1,False,False,0,2,False,False,False,False,False
2288,4,0,1,True,False,4,1,False,False,False,False,True
2813,5,0,0,False,False,1,1,False,False,False,False,False
8048,5,0,1,False,False,0,1,False,False,False,False,False
604,5,0,5,True,False,8,0,False,False,False,False,True
3008,5,0,0,False,False,0,1,False,False,False,False,False
670,5,0,0,True,False,5,5,False,False,False,False,True
5027,5,0,0,False,False,0,0,False,False,False,False,False
987,6,0,1,True,False,3,8,False,False,False,False,True
3859,6,0,1,False,False,0,4,False,False,False,False,False
3189,6,0,0,True,False,0,1,False,False,False,False,True
1868,6,0,0,False,False,0,0,False,False,False,False,False
100,6,0,0,False,False,6,0,False,False,False,False,False
3256,6,0,2,True,False,0,0,False,False,False,False,True
9470,7,0,1,True,False,0,5,False,False,False,False,True
6238,7,0,0,False,False,0,5,False,False,False,False,False
9114,7,0,0,True,False,0,1,False,False,False,False,True
9504,7,0,0,False,False,0,1,False,False,False,False,False
7413,7,0,0,False,False,0,1,False,False,False,False,False
1678,7,0,1,True,True,0,11,False,False,True,False,True
253,8,0,0,False,False,0,0,False,False,False,False,False
581,8,0,2,True,False,0,9,False,False,True,False,True
668,8,0,1,False,False,0,5,False,False,False,False,False
5027,8,0,0,False,False,0,0,False,False,False,False,False
8404,8,0,0,True,False,0,0,False,False,False,False,True
9125,8,0,1,True,False,0,0,False,False,False,False,True
2288,9,0,0,False,False,4,1,False,False,False,False,False
2813,9,0,0,True,False,3,3,False,False,False,False,True
3256,9,0,0,True,False,0,0,False,False,False,False,True
2073,9,0,1,True,False,0,0,False,False,False,False,True
972,9,0,0,False,False,0,0,False,False,False,False,False
5104,9,0,0,True,False,0,4,False,False,False,False,True
2367,10,0,1,False,False,3,0,False,True,False,False,False
9114,10,0,0,False,False,0,2,False,False,False,False,False
9504,10,0,0,False,False,0,2,False,False,False,False,False
4990,10,0,0,True,False,1,0,False,True,False,False,True
1868,10,0,0,False,False,0,1,False,False,False,False,False
192,10,0,0,True,False,2,0,False,False,False,False,True
670,11,0,0,True,True,5,5,False,False,False,False,True
3859,11,0,0,False,False,3,3,False,False,False,False,False
2473,11,0,0,True,False,0,5,False,False,False,False,True
7419,11,0,0,False,False,0,9,False,False,False,False,False
6884,11,0,0,True,False,0,0,False,False,False,False,True
3008,11,0,1,False,False,0,0,False,False,False,False,False
3309,12,0,0,False,False,6,0,False,False,False,False,False
2035,12,0,1,False,False,0,0,False,False,False,False,False
987,12,0,3,True,True,0,7,False,False,False,False,True
7413,12,0,1,False,False,0,0,False,False,False,False,False
1678,12,0,3,True,True,6,4,False,False,True,False,True
8048,12,0,1,True,True,0,4,False,False,False,False,True
841,13,0,0,True,False,0,2,False,False,False,False,True
604,13,0,4,True,True,0,13,False,False,False,False,True
1351,13,0,1,False,False,6,0,False,False,False,False,False
9470,13,0,0,True,False,0,6,False,False,False,False,True
6348,13,0,0,True,False,1,0,False,False,False,False,True
1967,13,0,1,False,False,0,2,False,False,False,False,False
8546,14,0,0,False,False,1,0,False,False,False,False,False
100,14,0,0,False,False,5,1,False,False,False,False,False
3189,14,0,0,False,False,0,4,False,False,False,False,False
6918,14,0,0,False,False,0,0,False,False,False,False,False
6238,14,0,1,True,False,0,5,False,False,False,False,True
5026,14,0,0,True,False,0,5,False,False,False,False,True
2367,15,0,1,False,False,2,0,False,False,False,False,False
2288,15,0,1,True,False,0,5,False,False,False,False,True
4990,15,0,0,True,False,2,0,False,False,False,False,True
668,15,0,0,False,False,0,2,False,False,False,False,False
6884,15,0,1,False,False,0,0,False,False,False,False,False
7413,15,0,0,False,False,0,3,False,False,False,False,False
7419,16,0,0,False,False,0,4,False,False,False,False,False
9114,16,0,0,True,False,0,0,False,False,False,False,True
3309,16,0,0,True,False,0,0,False,False,False,False,True
2073,16,0,1,False,False,1,0,False,False,False,False,False
5027,16,0,0,False,False,0,0,False,False,False,False,False
841,16,0,0,True,False,0,1,False,False,False,False,True
5026,17,0,1,True,False,0,8,False,False,False,False,True
8546,17,0,0,False,False,1,0,False,False,False,False,False
972,17,0,1,True,False,2,5,False,False,False,False,True
9504,17,0,0,False,False,0,2,False,False,False,False,False
1868,17,0,0,False,False,0,3,False,False,False,False,False
2473,17,0,0,False,False,0,3,False,False,False,False,False
2035,18,0,0,False,False,0,0,False,False,False,False,False
253,18,0,0,True,False,3,0,False,False,False,False,True
3859,18,0,1,False,False,0,0,False,False,False,False,False
100,18,0,0,False,False,0,7,False,False,False,False,False
8048,18,0,1,True,False,0,3,False,False,False,False,True
9470,18,0,1,False,False,0,2,False,False,False,False,False
581,19,0,2,True,True,0,7,False,False,False,False,True
1351,19,0,1,False,False,5,1,False,False,False,False,False
670,19,0,0,True,True,4,4,False,False,False,False,True
3189,19,0,0,True,True,0,1,False,False,False,False,True
1967,19,0,1,False,False,0,0,False,False,False,False,False
3008,19,0,0,False,False,0,0,False,False,False,False,False
2813,20,0,0,False,False,1,2,False,False,False,False,False
1678,20,0,2,True,True,7,5,False,False,True,False,True
604,20,0,6,True,True,1,9,False,False,False,False,True
8404,20,0,1,False,False,0,0,False,False,False,False,False
6918,20,0,0,False,False,0,0,False,False,False,False,False
5104,20,0,2,True,False,0,2,False,False,False,False,True
9125,21,0,2,True,False,0,5,False,False,False,False,True
987,21,0,1,True,True,2,4,False,False,False,False,True
3256,21,0,2,True,True,0,7,False,False,False,False,True
6348,21,0,1,True,False,1,0,False,False,False,False,True
6238,21,0,0,False,False,0,5,False,False,False,False,False
192,21,0,1,False,False,3,0,False,False,False,False,False
3859,22,0,0,False,False,1,2,False,False,False,False,False
670,22,0,0,True,False,1,2,False,False,False,False,True
7413,22,0,0,False,False,0,4,False,False,False,False,False
5026,22,0,1,True,False,0,9,False,False,False,False,True
2288,22,0,1,True,False,2,5,False,False,False,False,True
841,22,0,0,True,False,0,4,False,False,False,False,True
7419,23,0,1,False,False,0,5,False,False,False,False,False
9504,23,0,1,False,False,0,0,False,False,False,False,False
4990,23,0,0,True,False,0,0,False,False,False,False,True
100,23,0,1,True,False,0,9,False,False,False,False,True
1967,23,0,1,False,False,0,2,False,False,False,False,False
2813,23,0,0,True,False,4,2,False,False,False,False,True
581,24,0,2,False,True,0,8,False,False,True,False,False
604,24,0,3,True,True,7,3,False,False,False,False,True
2367,24,0,1,False,False,4,0,False,False,False,False,False
8048,24,0,0,True,False,0,4,False,False,False,False,True
6238,24,0,1,False,False,0,3,False,False,False,False,False
1868,24,0,0,True,False,0,0,False,False,False,False,True
987,25,0,1,True,False,2,5,False,False,False,False,True
2073,25,0,1,True,False,4,0,False,False,False,False,True
6884,25,0,0,False,False,0,0,False,False,False,False,False
8404,25,0,4,True,False,1,6,False,False,False,False,True
253,25,0,0,True,False,0,0,False,False,False,False,True
972,25,0,1,True,True,0,7,False,False,False,False,True
668,26,0,2,True,False,0,3,False,False,False,False,True
1678,26,0,6,False,False,1,10,False,False,True,False,False
9114,26,0,0,True,False,0,2,False,False,False,False,True
3008,26,0,0,True,False,0,0,False,False,False,False,True
3256,26,0,1,True,False,0,2,False,False,False,False,True
8546,26,0,0,False,False,0,0,False,False,False,False,False
3309,27,0,0,True,False,2,0,False,False,False,False,True
6918,27,0,0,False,False,0,0,False,False,False,False,False
9125,27,0,0,False,False,0,8,False,False,False,False,False
192,27,0,0,True,False,2,1,False,False,False,False,True
1351,27,0,1,False,False,3,6,False,False,False,False,False
2473,27,0,1,True,True,0,5,False,False,False,False,True
3189,28,0,1,True,False,1,0,False,False,False,False,True
5027,28,0,0,False,False,0,0,False,False,False,False,False
6348,28,0,1,True,False,2,0,False,False,False,False,True
2035,28,0,0,False,False,0,1,False,False,False,False,False
9470,28,0,0,True,False,0,4,False,False,False,False,True
5104,28,0,0,True,False,0,2,False,False,False,False,True
3859,29,0,1,False,False,0,3,False,False,False,False,False
8404,29,0,2,True,False,0,0,False,False,False,False,True
7419,29,0,0,False,False,0,4,False,False,False,False,False
8048,29,0,1,True,False,0,6,False,True,False,False,True
2073,29,0,0,False,False,3,0,False,True,False,False,False
581,29,0,5,True,True,1,5,False,False,False,False,True
1967,30,0,1,False,False,0,8,False,False,False,False,False
668,30,0,0,False,False,0,8,False,False,False,False,False
3309,30,0,0,True,True,4,0,False,False,False,False,True
6884,30,0,0,False,False,0,0,False,False,False,False,False
670,30,0,0,True,False,3,3,False,False,False,False,True
1868,30,0,0,True,False,3,0,False,False,False,False,True
8546,31,0,0,False,False,0,0,False,False,False,False,False
972,31,0,1,True,False,6,1,False,False,False,False,True
9504,31,0,0,False,False,0,2,False,False,False,False,False
192,31,0,0,True,False,0,0,False,False,False,False,True
2035,31,0,0,False,False,0,0,False,False,False,False,False
987,31,0,3,True,True,5,7,False,False,False,False,True
9114,32,0,0,True,False,0,0,False,False,False,False,True
3189,32,0,1,False,False,0,2,False,False,False,False,False
2288,32,0,2,True,True,3,1,False,False,False,False,True
9470,32,0,0,False,False,0,3,False,False,False,False,False
6918,32,0,0,False,False,0,0,False,False,False,False,False
2367,32,0,1,False,False,3,1,False,False,False,False,False
5104,33,0,0,True,False,0,3,False,False,False,False,True
3008,33,0,0,True,False,0,2,False,False,False,False,True
253,33,0,0,True,False,1,0,False,False,False,False,True
6348,33,0,0,True,False,0,1,False,False,False,False,True
100,33,0,1,True,True,5,2,False,False,False,False,True
7413,33,0,0,False,False,0,5,False,False,False,False,False
1351,34,0,1,False,False,5,4,False,False,False,False,False
604,34,0,0,True,True,6,4,False,False,False,False,True
3256,34,0,0,True,True,0,7,False,False,False,False,True
5027,34,0,0,False,False,0,0,False,False,False,False,False
4990,34,0,0,False,False,0,0,False,False,False,False,False
5026,34,0,1,True,False,0,3,False,False,False,False,True
9125,35,0,0,False,False,0,0,False,False,False,False,False
2813,35,0,0,True,False,4,1,False,False,False,False,True
2473,35,0,1,True,True,0,5,False,False,False,False,True
6238,35,0,1,True,False,0,1,False,False,False,False,True
1678,35,0,5,True,True,6,6,False,False,True,False,True
841,35,0,0,True,False,0,2,False,False,False,False,True
192,36,0,0,False,False,0,2,False,False,False,False,False
6918,36,0,0,False,False,0,0,False,False,False,False,False
8404,36,0,2,True,True,3,2,False,False,False,False,True
3859,36,0,1,False,False,0,1,False,False,False,False,False
5104,36,0,0,True,True,0,1,False,False,False,False,True
670,36,0,0,True,True,5,4,False,False,False,False,True
3008,37,0,0,True,False,0,2,False,False,False,False,True
3309,37,0,0,True,False,3,0,False,False,False,False,True
5026,37,0,1,True,False,0,2,False,False,False,False,True
4990,37,0,0,False,False,0,0,False,False,False,False,False
9470,37,0,1,True,False,0,3,False,False,False,False,True
987,37,0,2,True,False,3,6,False,False,False,False,True
7413,38,0,0,False,False,0,2,False,False,False,False,False
3256,38,0,1,True,False,1,6,False,False,False,False,True
2073,38,0,1,True,False,2,1,False,False,False,False,True
3189,38,0,1,False,False,0,1,False,False,False,False,False
6884,38,0,0,False,False,0,0,False,False,False,False,False
1967,38,0,0,False,False,0,8,False,False,False,False,False
6348,39,0,1,True,False,0,2,False,False,False,False,True
7419,39,0,0,True,False,0,9,False,False,False,False,True
1868,39,0,0,False,False,0,6,False,False,False,False,False
5027,39,0,0,False,False,0,0,False,False,False,False,False
1678,39,0,3,True,True,4,10,False,False,False,False,True
2288,39,0,0,True,False,0,0,False,False,False,False,True
604,40,0,5,True,True,1,11,False,False,False,False,True
2035,40,0,1,True,False,0,0,False,False,False,False,True
6238,40,0,1,False,False,0,2,False,False,False,False,False
2473,40,0,1,True,False,0,5,False,False,False,False,True
100,40,0,2,True,True,5,0,False,False,False,False,True
668,40,0,0,True,False,0,7,False,False,False,False,True
841,41,0,2,True,False,0,4,False,False,False,False,True
8048,41,0,1,True,False,0,0,False,False,False,False,True
8546,41,0,0,False,False,0,0,False,False,False,False,False
9114,41,0,2,True,False,0,4,False,False,False,False,True
972,41,0,1,True,True,5,2,False,False,False,False,True
9125,41,0,0,True,False,0,4,False,False,False,False,True
9504,42,0,0,False,False,0,3,False,False,False,False,False
1351,42,0,1,True,False,3,4,False,False,False,False,True
253,42,0,0,True,False,2,0,False,False,False,False,True
2813,42,0,0,True,False,4,0,False,False,False,False,True
581,42,0,4,True,True,0,8,False,False,True,False,True
2367,42,0,0,False,False,4,0,False,False,False,False,False
2288,43,0,1,True,True,0,7,False,False,False,False,True
6918,43,0,0,False,False,0,0,False,False,False,False,False
1868,43,0,0,False,False,0,2,False,False,False,False,False
3309,43,0,0,True,False,3,0,False,False,False,False,True
2073,43,0,0,False,False,4,1,False,False,False,False,False
100,43,0,1,True,False,0,5,False,False,False,False,True
5104,44,0,1,True,True,3,1,False,False,False,False,True
3008,44,0,0,False,False,0,2,False,False,False,False,False
3189,44,0,0,False,False,0,0,False,False,False,False,False
7419,44,0,0,False,False,0,10,False,False,False,False,False
604,44,0,1,True,True,1,13,False,True,False,False,True
192,44,0,0,False,False,1,0,False,False,False,False,False
2813,45,0,0,False,False,0,4,False,False,False,False,False
987,45,0,1,True,False,5,2,False,False,False,False,True
3859,45,0,1,False,False,0,2,False,False,False,False,False
668,45,0,1,False,False,0,3,False,False,False,False,False
8546,45,0,0,False,False,0,0,False,False,False,False,False
1351,45,0,2,True,False,5,1,False,False,False,False,True
9504,46,0,0,False,False,0,2,False,False,False,False,False
1678,46,0,4,True,True,3,4,False,False,False,False,True
9125,46,0,1,False,False,0,7,False,False,False,False,False
670,46,0,1,True,False,3,2,False,False,False,False,True
9470,46,0,1,True,False,0,0,False,False,False,False,True
3256,46,1,3,True,True,0,1,False,False,False,False,True
2035,47,0,0,False,False,0,0,False,False,False,False,False
581,47,0,3,True,True,4,2,False,False,True,False,True
253,47,0,0,True,False,1,0,False,False,False,False,True
841,47,0,0,True,False,0,13,False,False,False,False,True
9114,47,0,1,True,False,0,4,False,True,False,False,True
4990,47,0,0,False,False,0,0,False,True,False,False,False
8048,48,0,0,True,False,0,0,False,False,False,False,True
6884,48,0,0,False,False,0,0,False,False,False,False,False
5026,48,0,0,False,False,0,4,False,False,False,False,False
6238,48,0,0,False,False,0,0,False,False,False,False,False
1967,48,0,0,False,False,0,6,False,False,False,False,False
8404,48,0,3,True,False,3,3,False,False,False,False,True
2473,49,0,1,True,False,0,5,False,True,False,False,True
7413,49,0,0,False,False,0,5,False,False,False,False,False
972,49,0,1,True,True,6,2,False,False,False,False,True
2367,49,0,0,False,False,6,0,False,True,False,False,False
5027,49,0,0,False,False,0,0,False,False,False,False,False
6348,49,0,0,True,False,0,1,False,False,False,False,True
3189,50,0,1,False,False,0,0,False,False,False,False,False
3309,50,0,0,True,False,5,0,False,False,False,False,True
604,50,0,6,True,True,0,12,False,False,False,False,True
2073,50,0,1,True,True,3,0,False,False,False,False,True
9504,50,0,0,False,False,0,1,False,False,False,False,False
3859,50,0,1,False,False,0,3,False,False,False,False,False
670,51,0,0,True,False,1,4,False,False,False,False,True
9114,51,0,1,False,False,0,2,False,False,False,False,False
581,51,0,4,True,True,0,6,False,False,True,False,True
6918,51,0,0,False,False,0,0,False,False,False,False,False
987,51,0,0,True,False,1,6,False,False,False,False,True
5026,51,0,2,True,False,0,6,False,False,False,False,True
9125,52,0,1,True,False,0,1,False,False,False,False,True
4990,52,0,0,True,False,0,0,False,False,False,False,True
2288,52,0,2,True,True,0,9,False,False,False,False,True
1967,52,0,0,False,False,0,5,False,False,False,False,False
2473,52,0,0,False,False,0,8,False,False,False,False,False
8048,52,0,1,True,False,0,6,False,False,False,False,True
192,53,0,0,False,False,1,0,False,False,False,False,False
1678,53,0,6,True,False,0,10,False,False,True,False,True
253,53,0,0,False,False,1,0,False,False,False,False,False
5027,53,0,0,False,False,0,0,False,False,False,False,False
9470,53,0,1,True,False,0,3,False,False,False,False,True
6884,53,0,0,False,False,0,0,False,False,False,False,False
972,54,0,0,True,False,3,4,False,False,False,False,True
5104,54,0,1,True,False,0,2,False,False,False,False,True
1351,54,0,0,True,False,2,1,False,False,False,False,True
6238,54,0,1,False,False,0,2,False,False,False,False,False
668,54,0,0,False,False,0,2,False,False,False,False,False
3256,55,0,1,False,True,0,9,False,False,False,False,False
841,55,0,2,True,False,0,11,False,False,False,False,True
6348,55,0,0,True,False,0,0,False,False,False,False,True
100,55,0,0,False,False,5,3,False,False,False,False,False
8404,55,0,0,True,False,0,0,False,False,False,False,True
2367,55,0,0,False,False,0,0,False,False,False,False,False
2813,56,0,0,True,False,3,3,False,False,False,False,True
7413,56,0,0,False,False,0,6,False,False,False,False,False
3008,56,0,0,False,False,0,3,False,False,False,False,False
2035,56,0,0,True,False,0,0,False,False,False,False,True
1868,56,0,0,True,False,0,6,False,False,False,False,True
8546,56,0,0,False,False,0,0,False,False,False,False,False
6918,57,0,0,False,False,1,0,False,False,False,False,False
668,57,0,1,False,False,0,6,False,False,False,False,False
1678,57,0,5,True,False,5,4,False,False,False,False,True
4990,57,0,0,True,False,0,0,False,False,False,False,True
3189,57,0,0,True,False,1,0,False,False,False,False,True
972,57,0,0,True,True,1,7,False,False,False,False,True
5027,58,0,0,False,False,0,0,False,False,False,False,False
3309,58,0,0,True,False,3,0,False,False,False,False,True
3859,58,0,1,False,False,0,4,False,False,False,False,False
6348,58,0,0,True,False,0,0,False,False,False,False,True
581,58,0,2,True,True,2,8,False,False,False,False,True
9504,58,0,0,False,False,0,1,False,False,False,False,False
2367,59,0,0,False,False,2,0,False,False,False,False,False
2473,59,0,1,True,False,0,8,False,False,False,False,True
1967,59,0,0,False,False,0,7,False,False,False,False,False
9114,59,0,2,True,False,0,4,False,False,False,False,True
987,59,0,2,True,True,0,9,False,False,False,False,True
5104,59,0,1,True,True,0,3,False,False,False,False,True
2288,60,0,4,True,True,4,1,False,False,False,False,True
3008,60,0,0,False,False,0,5,False,False,False,False,False
9470,60,0,2,True,False,0,3,False,False,False,False,True
8546,60,0,0,False,False,0,0,False,False,False,False,False
6238,60,0,0,False,False,0,0,False,False,False,False,False
7419,60,0,1,False,False,0,6,False,False,False,False,False
9125,61,0,1,False,False,0,5,False,False,False,False,False
1351,61,0,1,False,False,4,1,False,False,False,False,False
8404,61,0,2,True,False,2,0,False,False,False,False,True
100,61,0,0,False,False,0,7,False,False,False,False,False
7413,61,0,0,False,False,0,2,False,False,False,False,False
670,61,0,0,False,False,7,7,False,False,False,False,False
604,62,0,0,True,False,0,0,False,False,False,False,True
253,62,0,0,False,False,1,0,False,True,False,False,False
1868,62,0,1,True,False,0,4,False,False,False,False,True
8048,62,0,1,True,False,0,6,False,True,False,False,True
3256,62,0,1,True,True,0,2,False,False,False,False,True
6884,62,0,0,False,False,0,0,False,False,False,False,False
841,63,0,1,True,False,0,6,False,False,False,False,True
2073,63,0,1,False,False,0,8,False,False,False,False,False
192,63,0,0,False,False,2,0,False,False,False,False,False
2813,63,0,0,False,False,4,2,False,False,False,False,False
5026,63,0,1,False,False,0,2,False,False,False,False,False
2035,63,0,1,False,False,0,0,False,False,False,False,False
6238,64,0,0,False,False,1,0,False,False,False,False,False
8404,64,0,3,True,False,1,6,False,False,False,False,True
5027,64,0,0,False,False,0,0,False,False,False,False,False
972,64,0,0,True,True,2,3,False,False,False,False,True
5104,64,0,0,True,False,0,3,False,False,False,False,True
4990,64,0,0,False,False,1,0,False,False,False,False,False
9114,65,0,0,False,False,1,5,False,False,False,False,False
7413,65,0,0,False,False,0,1,False,False,False,False,False
3859,65,0,1,False,False,0,5,False,False,False,False,False
2288,65,0,2,True,True,4,2,False,False,False,False,True
604,65,0,0,True,False,0,0,False,False,False,False,True
668,65,0,1,False,False,0,3,False,False,False,False,False
9470,66,0,2,True,False,0,2,False,False,False,False,True
841,66,0,2,True,False,0,7,False,False,False,False,True
1351,66,0,0,False,False,5,0,False,False,False,False,False
1868,66,0,0,True,False,0,1,False,False,False,False,True
987,66,0,4,True,True,0,5,False,False,False,False,True
8048,66,0,1,True,False,0,4,False,False,False,False,True